ID,betingelse,item,svar,svartid,maksimalafvigelser
22,7,17,0,3.07,0.80456
22,7,21,0,2.30,0.96412
22,7,25,0,3.98,0.47552
22,7,29,0,5.70,0.22919
22,8,19,0,2.62,0.36876
22,8,23,0,2.82,0.54596
22,8,27,0,2.68,0.72868
22,8,31,0,2.21,0.24445
23,1,3,1,2.37,0.89818
23,1,7,1,1.99,1.04428
23,1,11,1,4.94,-0.13798
23,1,15,1,3.13,1.01768
23,2,1,0,1.47,0.13752
23,2,5,0,3.14,0.77780
23,2,9,1,2.31,0.86016
23,2,13,1,1.91,0.90775
23,3,2,0,2.39,0.63227
23,3,6,1,3.77,0.12846
23,3,10,1,2.81,0.39532
23,3,14,1,2.94,1.10558
23,4,4,0,3.34,1.09309
23,4,8,0,3.55,1.15840
23,4,12,0,3.09,0.57657
23,4,16,0,2.33,0.92964
23,5,19,0,3.43,0.31990
23,5,23,0,2.71,0.37992
23,5,27,0,2.05,1.05420
23,5,31,0,2.98,0.39369
23,6,17,1,1.92,0.23160
23,6,21,1,4.80,1.08417
23,6,25,1,1.68,0.31096
23,6,29,1,5.13,0.97365
23,7,18,0,1.51,0.35780
23,7,22,0,4.13,1.04155
23,7,26,1,3.70,1.00168
23,7,30,0,1.51,0.89934
23,8,20,0,1.96,0.93068
23,8,24,0,4.31,0.43383
23,8,28,1,4.01,1.06858
23,8,32,0,1.87,0.39558
24,1,4,1,5.59,1.23300
24,1,8,1,3.33,1.15098
24,1,12,1,2.49,1.00727
24,1,16,1,2.46,0.91058
24,2,2,0,1.98,0.90493
24,2,6,1,2.80,1.11161
24,2,10,1,2.75,0.56213
24,2,14,1,1.57,1.02139
24,3,3,0,2.18,0.34551
24,3,7,1,1.34,-0.08986
24,3,11,0,2.18,0.27759
24,3,15,1,1.49,0.21707
24,4,1,0,1.91,0.24005
24,4,5,0,2.43,0.19657
24,4,9,0,2.30,0.76718
24,4,13,0,2.15,0.32920
24,5,20,0,1.79,0.30978
24,5,24,0,2.35,0.19384
24,5,28,0,2.38,0.13307
24,5,32,1,2.72,1.02384
24,6,18,1,1.43,0.17651
24,6,22,0,1.94,0.46779
24,6,26,1,1.57,0.06154
24,6,30,1,1.41,0.14374
24,7,19,1,1.66,0.48682
24,7,23,0,2.09,0.73066
24,7,27,0,3.05,1.13396
24,7,31,0,2.79,0.29024
24,8,17,0,2.19,0.32082
24,8,21,0,1.71,-0.06810
24,8,25,0,2.47,0.86031
24,8,29,1,2.87,1.01204
31,1,1,1,2.94,0.59961
31,1,5,1,1.21,0.10888
31,1,9,1,1.35,0.27507
31,1,13,0,4.16,0.98260
31,2,3,0,2.59,1.03878
31,2,7,0,4.01,0.83823
31,2,11,0,2.58,0.23354
31,2,15,0,2.02,0.90400
31,3,4,1,4.42,0.95267
31,3,8,1,3.02,1.06389
31,3,12,1,1.66,0.92253
31,3,16,1,2.32,-0.02626
31,4,2,0,2.62,0.70452
31,4,6,1,1.75,1.11418
31,4,10,0,3.94,1.05506
31,4,14,0,3.91,0.97571
31,5,17,1,1.95,0.51151
31,5,21,0,2.98,0.90214
31,5,25,0,1.61,0.26134
31,5,29,0,2.07,0.86781
31,6,19,1,3.84,0.28457
